,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
735,ERBB2 signaling pathway (GO:0038128),GO:0038128,biological regulation,regulation of biological process,cell surface receptor signaling pathway,enzyme-linked receptor protein signaling pathway,transmembrane receptor protein tyrosine kinase signaling pathway,ERBB signaling pathway,,
736,sterol homeostasis (GO:0055092),GO:0055092,homeostatic process,chemical homeostasis,lipid homeostasis,,,,,
737,regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter (GO:1901836),GO:1901836,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,regulation of nucleic acid-templated transcription,
738,beta-catenin destruction complex disassembly (GO:1904886),GO:1904886,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex disassembly,,,
739,positive regulation of biosynthetic process (GO:0009891),GO:0009891,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,,,,
740,regulation of viral genome replication (GO:0045069),GO:0045069,biological regulation,regulation of biological process,regulation of viral process,regulation of viral life cycle,,,,
741,cytoplasmic pattern recognition receptor signaling pathway (GO:0002753),GO:0002753,cellular process,activation of immune response,positive regulation of biological process,regulation of response to stress,positive regulation of response to biotic stimulus,positive regulation of innate immune response,,
742,"neurotransmitter receptor transport, postsynaptic endosome to lysosome (GO:0098943)",GO:0098943,cellular process,cellular localization,cellular macromolecule localization,vacuolar transport,lysosomal transport,protein localization to vacuole,protein localization to lysosome,
743,regulation of anoikis (GO:2000209),GO:2000209,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell death,regulation of programmed cell death,regulation of apoptotic process,,
744,cellular response to pH (GO:0071467),GO:0071467,cellular process,response to abiotic stimulus,cellular response to environmental stimulus,,,,,
745,chromatin remodeling at centromere (GO:0031055),GO:0031055,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,chromatin organization,chromatin remodeling,
746,negative regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902894),GO:1902894,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,negative regulation of miRNA metabolic process,negative regulation of nucleic acid-templated transcription
747,regulation of interleukin-10 production (GO:0032653),GO:0032653,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of macromolecule metabolic process,regulation of gene expression,,,
748,DNA dealkylation (GO:0035510),GO:0035510,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
749,cyclic purine nucleotide metabolic process (GO:0052652),GO:0052652,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleotide metabolic process,cyclic nucleotide metabolic process,,
750,regulation of T cell differentiation (GO:0045580),GO:0045580,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell activation,regulation of leukocyte differentiation,regulation of T cell activation,,
751,negative regulation of immune effector process (GO:0002698),GO:0002698,biological regulation,regulation of biological process,negative regulation of biological process,regulation of immune effector process,,,,
752,cytoplasmic translation (GO:0002181),GO:0002181,cellular process,primary metabolic process,organic substance biosynthetic process,peptide metabolic process,peptide biosynthetic process,,,
753,regulation of NMDA receptor activity (GO:2000310),GO:2000310,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of transport,regulation of monoatomic ion transmembrane transporter activity,,,
754,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001269),GO:2001269,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of metabolic process,regulation of protein metabolic process,regulation of proteolysis,positive regulation of endopeptidase activity,positive regulation of cysteine-type endopeptidase activity
755,regulation of monooxygenase activity (GO:0032768),GO:0032768,biological regulation,regulation of molecular function,regulation of catalytic activity,regulation of oxidoreductase activity,,,,
756,regulation of axon extension involved in axon guidance (GO:0048841),GO:0048841,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell growth,regulation of extent of cell growth,,,
